HISTORY 2803E|WOMEN IN HISTORY|||North Atlantic Society since 1800. A survey of the ideas about women, and their activities, with emphasis on changes in concepts and practices and the effects on societies.|Brescia|3 lecture hours.
HISTORY 2802E|WOMEN, MEN AND TECHNOLOGY: A HISTORICAL PERSPECTIVE|History 2184.||This course explores the changing relationships between women, men, and technology in North America. The course examines critical perspectives on technology and its role in history.  Themes include: domestic technologies, technologies of consumption, sexual division of labour; reproductive medical technologies; and the gendering of technologies.|Brescia|3.0 hours.
HISTORY 2800F/G|THE PRACTICE AND PROFESSION OF HISTORY|History 3801E if taken at King's University College 2009-12 inclusive.||A problem-based approach to the practical aspects of historical study: conducting research, utilizing evidence, writing, and the public presentation of history. The course also considers the related fields of museology, material culture, archeology, and Biblical exegesis, and concludes by examining historical malpractice, including conspiracy theories and fraud.|King's|1.0 lecture hour, 2.0 seminar hours.
HISTORY 2799F/G|SELECTED TOPICS IN INTERNATIONAL OR COMPARATIVE HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2798F/G|SELECTED TOPICS IN INTERNATIONAL OR COMPARATIVE HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2797F/G|SELECTED TOPICS IN INTERNATIONAL OR COMPARATIVE HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2796F/G|SELECTED TOPICS IN INTERNATIONAL OR COMPARATIVE HISTORY|||See History Department for current offerings.|Western Main Campus,Brescia,Huron,King's|3 hours.
HISTORY 2795E|SELECTED TOPICS IN INTERNATIONAL OR COMPARATIVE HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2794E|SELECTED TOPICS IN INTERNATIONAL OR COMPARATIVE HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2793E|SELECTED TOPICS IN INTERNATIONAL OR COMPARATIVE HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2792E|SELECTED TOPICS IN INTERNATIONAL OR COMPARATIVE HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2791E|SELECTED TOPICS IN INTERNATIONAL OR COMPARATIVE HISTORY|||See History Department for current offerings.|Western Main Campus,Brescia,Huron,King's|3 hours.
HISTORY 2714F/G|MERCHANTS OF EMPIRE: THE FIRST GLOBAL CORPORATIONS||0.5 Course in History or permission of instructor.|This course examines the global impact of European joint stock companies from their inception as sixteenth-century trading expeditions to their central role in the history of imperialism, colonialism, and the development of the global capitalist economy. Topics include the rise of the corporation, expansion of global trading networks, imperial warfare, cultural contact and exchange, slavery and exploitation, colonial resistance and oppression, and the complex relationship between companies and imperial governments.|Huron|3 hours.
HISTORY 2713F/G|REPUBLIC OF LETTERS: ENLIGHTENMENT IN ATLANTIC WORLD|||Focusing on the circulation of Enlightenment thought and ideas in print culture, this course explores the origins and influence of the Enlightenment across the Atlantic world, with an emphasis on the place of natural science and religion, political revolution, women and Enlightenment, slavery and abolition, and recent critical historiography.Antirequisite: The former History 2704E.|Huron|3 hours.
HISTORY 2712F/G|TYRANTS: HISTORICAL PROFILES IN OPPRESSION AND RESISTANCE|||This course explores tyranny in human history, from ancient to modern times, with a focus on the early modern West and its global expansion. It will explore the evolution of the concept of the tyrant, the idea of legitimate vs illegitimate rule, and the resistance and agency of oppressed peoples.|Huron|3 hours.
HISTORY 2710F/G|RED, WHITE, BLACK, ET BLANCS: THE AMERICAS TO 1867|History 2201E, History 2301E.||This course examines the history of North America from 1450 to 1867. The course addresses the histories of North American, European and African peoples and their interactions with each other. Key themes covered in this course are imperial and colonial expansion, slavery and indigeneity, religion, and political revolution.|Huron|3 hours.
HISTORY 2709F/G|RACE, RIGHTS, AND REVOLUTION: THE ATLANTIC WORLD IN THE EIGHTEENTH CENTURY|||This course examines currents of change flowing through the Atlantic world, from the Glorious Revolution in England in 1688 to the founding of the Republic of Haiti in 1804. Themes will include: the influence and limitations of Enlightenment thought; shifting concepts of nature, natural rights and individualism; empire and revolution; and the histories of racial slavery and emancipation.|Huron|3 hours.
HISTORY 2708F/G|CRIME AND PUNISHMENT 20TH-CENTURY US, CANADA, AND UK|||This course will compare the diverging histories of twentieth-century crime and punishment in Canada, the UK and the US. Topics include international policing, the use of forensic science in detecting and proving crime, the abolition of capital punishment, and the role of media in modern perceptions of crime.|Huron|3 hours.
HISTORY 2707F/G|CRIME AND PUNISHMENT IN NINETEENTH-CENTURY US, CANADA, AND UK|||This course will investigate the history of nineteenth-century crime and punishment in Canada, the UK and the US, examining how the shared legal pasts of these countries diverged in the era of industrialization and urbanization. Topics include the establishment of police forces, early crime statistics, and capital punishment.|Huron|3 hours.
HISTORY 2706E|YOUTH CULTURES IN THE TWENTIETH CENTURY|||This course will examine twentieth-century youth cultures in Canada, Britain and the United States: flappers, `Swing Kids', rebellious teenagers, mods, hippies, punks, and hip hop, to discover their changing natures, their relationship to the dominant society and the official reactions to them.|Huron|3 hours.
HISTORY 2705E|THE WESTERN TRADITION IN INTERNATIONAL RELATIONS THEORY AND PRACTICE|||"The course examines historical international relations theory critically and in context, not only the ""canon"" of Western thinkers but also international voices often marginalized in IR theory. In doing so, the course considers the role of race, gender, imperialism, religion, and more in the development of IR theory."|Western Main Campus|3 hours.
HISTORY 2702E|TEN DAYS THAT SHOOK THE WORLD|||The course examines ten separate days/events in world history since 1609 with an emphasis on the key role of interactions across cultures. Moving among the case studies, the goal of the course is not to gain total knowledge of the world, but to understand the processes by which we claim to know the world.|Huron|3 hours.
HISTORY 2701E|PATTERNS AND PERSPECTIVES IN WORLD HISTORY|||The course stresses the interaction over time of major world civilizations. Emphasis is given to historical developments that have influenced more than one civilization or cultural region.|Huron|3 hours.
HISTORY 2699F/G|SELECTED TOPICS IN ASIAN, AFRICAN OR MIDDLE EASTERN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2698F/G|SELECTED TOPICS IN ASIAN, AFRICAN OR MIDDLE EASTERN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2697F/G|SELECTED TOPICS IN ASIAN, AFRICAN OR MIDDLE EASTERN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2696F/G|SELECTED TOPICS IN ASIAN, AFRICAN OR MIDDLE EASTERN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2695E|SELECTED TOPICS IN ASIAN, AFRICAN OR MIDDLE EASTERN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2694E|SELECTED TOPICS IN ASIAN, AFRICAN OR MIDDLE EASTERN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2693E|SELECTED TOPICS IN ASIAN, AFRICAN OR MIDDLE EASTERN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2692E|SELECTED TOPICS IN ASIAN, AFRICAN OR MIDDLE EASTERN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2691E|SELECTED TOPICS IN ASIAN, AFRICAN OR MIDDLE EASTERN HISTORY|||See History Department for current offerings.|Western Main Campus,Brescia,Huron,King's|3 hours.
HISTORY 2650E|PEPPERS, PIRATES AND PRIESTS: EAST ASIA IN WORLD HISTORY BEFORE 1800|History 2691E (2013-14).||Explores cultural, social, religious and economic interactions both within East Asia and between East Asia and the rest of the world before the age of European dominance.|King's|2 lecture hours, 1 tutorial hour.
HISTORY 2618F/G|CHINA AND THE WORLD|||Explores the interaction between China and the rest of the world from the Mongol conquest of the 13th century to the Republic of China in the mid-20th century, to understand how China has been globally integrated through conquest, the exchange of goods and ideas, and the migration of peoples.Extra information: Two lecture hours per week.|Western Main Campus|
HISTORY 2615F/G|CHINESE WOMEN'S BIOGRAPHY|||This course studies the long Chinese tradition of women’s biography by critically analyzing a variety of biographical sources, including records on “chaste women” in dynastic histories. It also examines how women’s biography served particular political, social, and cultural enterprises of the imperial Chinese state and society.|Huron|2 lecture hours.
HISTORY 2611E|SURVEY OF KOREAN HISTORY|||A survey of Korean history from the formation of the first Korean states to the present, focusing on domestic developments and the role of the Korean peninsula in the international system in East Asia.|Western Main Campus|2 lecture hours.
HISTORY 2610F/G|WOMEN IN EAST ASIA|||This half course aims to help students sharpen their analytical skills in understanding the cultural and gender differences in China, Japan, and Korea while at the same time learn more about the imperial, modern, and contemporary societies of the three East Asian countries.|Huron|3 hours.
HISTORY 2608F/G|THE HISTORY OF THE MODERN MIDDLE EAST|History 2606E and the former History 2161.||The course surveys the disintegration of the Ottoman Empire, the transformation of political institutions, the formation of independent Arab states in the 20th century, Arab nationalism, fundamentalism, the impact of European and American imperialism, and the challenges of modernity for the family and status of women.|Western Main Campus|3 lecture hours.
HISTORY 2607F/G|HISTORY & CIVILIZATION OF MEDIEVAL ISLAM|||The course introduces the main events and themes of Islamic history and civilization and their place in world history. Topics include: Muhammad and the Qur'an, the Islamic legal system, social structure and political institutions, literature, philosophy, theology, art and architecture, medicine and science, interaction with Europe, the Crusades, and trade.|Western Main Campus|3 lecture hours.
HISTORY 2606E|THE MAKING OF THE MODERN MIDDLE EAST|History 2608F/G, the former History 2161E.||This course moves from the disintegration of the Ottoman Empire through the formation of independent Turkey and the Arab and Jewish states to a consideration of social, economic and political developments such as the development of secular nationalism, socialism, pan-Islamism, and the challenges facing the modern Middle East.|Western Main Campus|2 lecture hours, 1 tutorial hour.
HISTORY 2605E|SURVEY OF JAPANESE HISTORY|||A survey of Japan's political, social, economic, and cultural development from prehistoric times to the present. Themes will include the foundation of the early aristocratic state, warrior regimes, the rise of the Japanese empire in the 19th and 20th centuries, and Japan's recovery and economic development after World War II.|Western Main Campus|2 lecture hours.
HISTORY 2604F/G|EUROPEAN IMPERIALISM IN AFRICA 1830-1994|||Beginning with the French invasion of Algeria in 1830 and ending with the end of apartheid in South Africa, this course examines theories of imperialism, the period of the European colonization of most of Africa, colonial rule on the continent, African resistance to colonialism, and the process of decolonization.|Huron|3 hours.
HISTORY 2603E|CHINA: TRADITION AND TRANSFORMATION|||The first term examines central themes in pre-modern Chinese history. The second term covers the modern and contemporary periods, with attention to the role of history and tradition in building the Chinese nation.|Huron|3 hours.
HISTORY 2602F/G|PRE-COLONIAL AFRICA|||Beginning with broad themes in early African history such as the Bantu migrations and the spread of Islam this course provides an overview of pre-colonial African history and seeks to convey a history of Africa on its own terms, divorced from a Eurocentric perspective.|Huron|3 hours.
HISTORY 2601E|HISTORY OF MODERN CHINA|||A study of China beginning with the decline of the Ming dynasty (ca 1600), continuing through the rise and fall of the Qing dynasty, and concluding with the rise of modern China in the late-20th century.|Western Main Campus|2 lecture hours, 1 tutorial hour.
HISTORY 2599F/G|SELECTED TOPICS IN LATIN AMERICAN OR PACIFIC HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2598F/G|SELECTED TOPICS IN LATIN AMERICAN OR PACIFIC HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2597F/G|SELECTED TOPICS IN LATIN AMERICAN OR PACIFIC HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2596F/G|SELECTED TOPICS IN LATIN AMERICAN OR PACIFIC HISTORY|||See History Department for current offerings.|Western Main Campus,Brescia,Huron,King's|3 hours.
HISTORY 2595E|SELECTED TOPICS IN LATIN AMERICAN OR PACIFIC HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2594E|SELECTED TOPICS IN LATIN AMERICAN OR PACIFIC HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2593E|SELECTED TOPICS IN LATIN AMERICAN OR PACIFIC HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2592E|SELECTED TOPICS IN LATIN AMERICAN OR PACIFIC HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2591E|SELECTED TOPICS IN LATIN AMERICAN OR PACIFIC HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2501E|HISTORY OF LATIN AMERICA|||"An introduction to Latin America. The first term emphasizes the colonial foundations of Spanish and Portuguese civilization in the New World; the second term emphasizes the growth of the individual republics, personalist rule, federalism vs. centralism, revolution, and the ""static society""."|King's|3 hours.
HISTORY 2499F/G|SELECTED TOPICS IN EUROPEAN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2498F/G|SELECTED TOPICS IN EUROPEAN HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2497F/G|SELECTED TOPICS IN EUROPEAN HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2496F/G|SELECTED TOPICS IN EUROPEAN HISTORY|||See History Department for current offerings.|Western Main Campus,Brescia,Huron,King's|3 hours.
HISTORY 2495E|SELECTED TOPICS IN EUROPEAN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2494E|SELECTED TOPICS IN EUROPEAN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2493E|SELECTED TOPICS IN EUROPEAN HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2492E|SELECTED TOPICS IN EUROPEAN HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2491E|SELECTED TOPICS IN EUROPEAN HISTORY|||See History Department for current offerings.|Western Main Campus,Brescia,Huron,King's|3 hours.
HISTORY 2459F/G|MIDWIVES, MADONNAS, WITCHES AND WHORES: WOMEN IN EARLY MODERN EUROPE, 1500-1700|History 2159A/B.||This course will provide critical perspectives on the lives of European women 1500 to 1700. Students will analyze early modern perceptions of women, female life cycles, and the various roles of women: wife, mother, nun, martyr, midwife, citizen, soldier, worker, property owner, and artist, plus female rulers and regents.|Brescia|2 lecture hours.
HISTORY 2427F/G|HISTORY OF RUSSIA|||This course traces the history of Russia from ancient times to the present. It looks at events on the territory of present-day Russia through imperial expansion, reforms, and revolutions into the 21st century. It explores domestic, regional, and international factors, and how this complex history has been narrated.|Western Main Campus|2 lecture hours.
HISTORY 2423F/G|RUSSIA AND UKRAINE: PAST AND PRESENT|Political Science 2423F/G.||This course examines the causes and consequences of the current conflict in Ukraine. By looking at Russian and Ukrainian history, placing it in international context and exploring concepts such as state, empire, nation, and the role of mass media, it provides a larger framework for understanding what is happening today.|Western Main Campus|2 hours.
HISTORY 2420F/G|BRITAIN DURING WORLD WAR TWO|||This course explores daily life in Britain during the extraordinary events of the Second World War. Each week students will use diaries, letters, photographs, films and propaganda to examine wartime rationing, the black market, bombing raids, refugees and foreign soldiers, crime and violence, and the mass evacuation of children.|Huron|3 hours.
HISTORY 2415F/G|THE AGE OF NAPOLEON||0.5 Course in History.|This course explores the social, cultural, political, and military history of Europe and European empires from the 1790s to the 1820s. Themes examined include the rise of modern nationalism and imperialism; print culture, art, and propaganda; warfare and society; industrialization; myth and memory; slavery and abolition; and the global impact of the Napoleonic Wars.|Huron|3 hours.
HISTORY 2414F/G|EVERY DAY LIFE IN 20TH CENTURY BRITAIN|||This course will trace the transformations of everyday life in twentieth-century Britain through its social history and vibrant popular culture. We will examine how a country with a long history of political stability and cultural creativity was also one divided by rigid lines separating class, gender, ethnicity and nationality.|Huron|3 hours.
HISTORY 2413E|EUROPE AND THE PARADOXES OF MODERNITY|||This course examines the concept, history, and experience of modernity in Europe from the nineteenth century to the present, paying particular attention to the key economic, political, social and cultural roles of the city.|Huron|3 hours.
HISTORY 2408F/G|THE EUROPEAN WITCHCRAZE: CRIME AND DEVIANCE IN THE EARLY MODERN WORLD|History 2108F/G.||The European Witchcraze (1480-1700) was a fascinating and disturbing episode in European history. Widespread belief in witchcraft and judicial torture of the accused spread across Europe and Colonial America (Salem). The course adopts a variety of perspectives: social, religious, political, intellectual, legal, anthropological as well as gendered and environmental interpretations.|Brescia|3 hours.
HISTORY 2404E|EUROPE, 1789-1918: AN ERA OF REVOLUTIONARY CHANGE|||European history in the period between the French revolution and the First World War was marked by cataclysmic change, political, economic, social, and cultural. History 2404E analyzes the causes and consequences of these changes and the relationships among them.|Western Main Campus|2 lecture hours, 1 tutorial hour.
HISTORY 2403E|EUROPE AND ENGLAND IN THE 16TH AND17TH CENTURIES|||Cultural, social, economic, and political themes including the Protestant and Catholic Reformations; the rise of absolutism; the commercial revolution; heresy, witchcraft, and scepticism; plague and health problems; the origins of modern science; demographic trends; the Puritans; baroque art and music; Cromwell, Gustavus Adolphus, and the creation of the modern army.|Western Main Campus,Brescia,Huron,King's|2 lecture hours, 1 tutorial hour (Main);  3 lecture hours (Brescia, Huron, King's).
HISTORY 2401E|MEDIEVAL EUROPE|||This course examines the transformation of European economies, political structures, religious and social institutions, and cultures in the thousand years between the fall of Rome and the European voyages of discovery, and the degree to which ordinary people shaped their societies and affected the course of historical change.|Western Main Campus|2 lecture hours, 1 tutorial hour.
HISTORY 2399F/G|SELECTED TOPICS IN US HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2398F/G|SELECTED TOPICS IN US HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2397F/G|SELECTED TOPICS IN US HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2396F/G|SELECTED TOPICS IN US HISTORY|||See History Department for current offerings.|Western Main Campus,Brescia,Huron,King's|3 hours.
HISTORY 2395E|SELECTED TOPICS IN US HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2394E|SELECTED TOPICS IN US HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2393E|SELECTED TOPICS IN US HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2392E|SELECTED TOPICS IN US HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2391E|SELECTED TOPICS IN US HISTORY|||See History Department for current offerings.|Western Main Campus,Brescia,Huron,King's|3 hours.
HISTORY 2312F/G|THE UNITED STATES: THE BEGINNINGS TO 1865|History 2301E, History 2710F/G.||This survey of American history from 1600 to the 1860s will focus on the most important trends and developments in the emergence of the American nation, including settlement, the egalitarian impulse, national expansion, and sectional conflict.|Western Main Campus|2 lecture hours, 1 tutorial hour.
HISTORY 2311F/G|THE UNITED STATES: 1865 TO THE PRESENT|History 2301E, History 2302F/G.||This course surveys the history of the United States from Reconstruction to the present day. Topics include the political history of the United States; the growth of American capitalism and mass culture; changing meanings of race, gender, and difference; and the United States’ place in the world.|Western Main Campus|2 lecture hours, 1 tutorial hour.
HISTORY 2310F/G|AMERICAN NIGHTMARE: AN INTRODUCTION TO AMERICAN STUDIES|American Studies 2310F/G.||In the increasingly polarized culture of the US, one American’s dream often seems to be another American’s nightmare. This course introduces key ideas in American culture (the American Dream, American Exceptionalism, and American Identity), and examines recent socio-political movements such as #Black Lives Matter, #Me Too, and White Nationalism.|Western Main Campus|2 lecture hours, 1 tutorial hour.
HISTORY 2302F/G|AMERICAN MODERN: THE UNITED STATES IN THE TWENTIETH CENTURY|History 2301E.||This course is a survey of the social, political, intellectual, and cultural history of the United States, paying particular attention to the interplay among the shifting constructs of race and gender, and to the sources, interpretations, and recurring themes that give shape to narratives of the recent American past.|Huron|3 hours.
HISTORY 2301E|THE UNITED STATES, COLONIAL PERIOD TO THE PRESENT|||Emphasis first term upon the emergence of the American nation, the egalitarian impulse, national expansion and sectional conflict; second term, upon the great transformations of the modern era: the growth of industrialism, big government, a pluralistic society, and international predominance.|Western Main Campus,Brescia,Huron,King's|2 lecture hours, 1 tutorial hour (Main); 3 lecture hours (Brescia, Huron, King's).
HISTORY 2299F/G|SELECTED TOPICS IN CANADIAN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2298F/G|SELECTED TOPICS IN CANADIAN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2297F/G|SELECTED TOPICS IN CANADIAN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2296F/G|SELECTED TOPICS IN CANADIAN HISTORY|||See History Department for current offerings.|Western Main Campus,Brescia,Huron,King's|3 hours.
HISTORY 2295E|SELECTED TOPICS IN CANADIAN HISTORY|||See History Department for current offerings|Huron,King's|3 hours.
HISTORY 2294E|SELECTED TOPICS IN CANADIAN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2293E|SELECTED TOPICS IN CANADIAN HISTORY|||See History Department for current offerings.|Huron,King's|3 hours.
HISTORY 2292E|SELECTED TOPICS IN CANADIAN HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2291E|SELECTED TOPICS IN CANADIAN HISTORY|||See History Department for current offerings.|Brescia,Huron,King's|3 hours.
HISTORY 2270F/G|PARKS, PEOPLE, AND POWER IN PERSPECTIVE|History 2170A/B.||This course examines conflicts over parks and other protected areas in Canada and the United States. It emphasizes changing ideas, shifting land use pressures, and power relations among diverse interests. Controversies over park establishment, management policies, and their environmental impacts will be discussed. Course requirements may include a field trip.|Brescia|2 hours.
HISTORY 2268F/G|NATURE AND CULTURE IN CANADIAN HISTORY|History 2168A/B, History 2123, History 2211E.||This course highlights the environment as an historical force. It examines changing relationships between people and other aspects of the natural world. Topics include Indigenous resource use, impacts of European colonization, attitudes toward nature, social conflicts over government policies affecting fish, forest, and wildlife, and the rise of environmental advocacy.|Brescia|2 hours.
HISTORY 2226F/G|EDITORIAL CARTOONS IN CANADIAN HISTORY AND SOCIETY|History 2126A/B.||This course will provide critical perspectives on the creation and impact of editorial cartoons from colonial times to the present. Analysis of the political, social, and economic context for powerful visual critiques in the popular press. Themes include power and authority, social and moral regulation, and humour as a weapon.|Brescia|2 hours.
HISTORY 2211E|TOPICS IN CANADIAN ENVIRONMENTAL HISTORY|History 2123.||Issues in the history of Canadian conservation and environmentalism since 1600. The political, social, ecological, regional, economic and intellectual factors which have shaped environmental problems are explored. Students are introduced to changing ideas about the interaction of human society with other aspects of the natural world.|Brescia|2 lecture hours.
HISTORY 2209E|THE FIRST NATIONS IN CANADIAN HISTORY|Indigenous Studies 2901E.|Indigenous Studies 1020E or Anthropology 1020 (formerly Anthropology 1020E) Anthropology 1025F/G or History 1201E or History 1401E.|First Nations peoples are the original inhabitants of Canada. This course will examine history recorded since European contact with all possible efforts to privilege an Aboriginal point of view and the contribution Aboriginal peoples have made and continue to make to Canada as a nation-state and as a cultural community.|Western Main Campus|3 lecture hours.
HISTORY 2206|CANADA'S CONTESTED PAST|History 1201E, History 2201E, History 2204F/G, History 2205E.||This course surveys the history of Canada with an emphasis on Indigenous peoples, colonialism and imperialism; the history of warfare and international relations; immigration, industrialization and state formation; and the diverse ways that gender, class and race shaped the lives of Canadians.|Brescia|3 hours.
HISTORY 2205E|CANADA: FROM CONFEDERATION TO THE PRESENT|History 2201E, History 2202.||The course emphasizes the interplay of regional and national factors in Canadian history since 1867, addresses political, social, and economic issues, surveys the regional histories of the Atlantic Provinces, Quebec, Ontario, the Prairie Provinces and British Columbia, and places these regional histories in their national context.|Brescia,King's|3 hours.
HISTORY 2204F/G|CRISES AND CONFEDERATION: THE MAKING OF MODERN CANADA|History 2201E and History 2205E.||This course surveys Canadian history since Confederation, focusing on political, economic, and social developments. It addresses key moments of tension within Canada's past, and introduces a variety of historical theories and methodologies, and considers both the development of the Canadian nation-state, and how historians have interpreted its past.|Huron|3 hours.
HISTORY 2203E|PRE-CONFEDERATION CANADA||History 1201E.|A survey of Canadian history to 1867. This course provides students in Canadian history with a broad knowledge of the regional particularities which have marked Canadian history from its beginnings. It deals with the main economic, social and political features of pre-Conquest Canada, the Maritime colonies, and of Lower and Upper Canada.|Brescia,King's|3 hours
HISTORY 2202|NATIONAL DREAMS AND DIVERGENT REALITIES: CANADIAN HISTORY SINCE THE 1860S|History 2127F/G, History 2201E, History 2205E.||The course emphasizes the interplay of regional and national factors in Canadian history since 1867, address political, social, and economic issues, surveys the regional histories of the Atlantic Provinces, Quebec, Ontario, the Prairie Provinces and British Columbia, and places these regional histories in their national context.|Brescia|3 hours.
HISTORY 2201E|CANADA'S PAST: A CRITICAL HISTORY FROM THE ORIGINS TO THE PRESENT|||This course surveys the history of Canada with an emphasis on Indigenous peoples, colonialism and imperialism; the history of warfare and international relations; immigration, industrialization and state formation; and the diverse ways that gender, class and race shaped the lives of everyday Canadians.|Western Main Campus,Brescia,Huron,King's|2 lecture hours, 1 tutorial hour (Main); 3 lecture hours (Huron, King's).
HISTORY 2198A/B|SELECTED TOPICS COURSE|||Extra Information: 2 hours.|Western Main Campus|
HISTORY 2197A/B|ORIGINS OF GLOBAL CAPITALISM|||This course examines the development of global capitalism, 1500's to present. Topics include theories and varieties of capitalism, the role of the state, social institutions and technological innovation in capitalist development, migration and labour relations, the rise of the transnational corporation and modern banking, responses to underdevelopment and global inequality.|King's|2 lecture hours, 1 tutorial hour.
HISTORY 2195A/B|EPIDEMICS IN NORTH AMERICA|||The course will examine the social and economic impact of epidemic disease in North America by discussing outbreaks of yellow fever, cholera, diphtheria, smallpox, Spanish influenza, polio and encephalitis. Also analyzed will be the evolution of public health services, medical theories and governmental regulations in response to such epidemics.|King's|3 hours.
HISTORY 2194A/B|AMERICA AT BAT:  US HISTORY THROUGH BASEBALL|||This course uses the history of baseball in the United States to explore major themes in American history including race, gender, foreign policy, and capitalism.|King's|2 lecture hours, 1 tutorial hour.
HISTORY 2193A/B|CONSPIRACY THEORIES IN AMERICAN HISTORY|||This course explores the major conspiracy theories in American history in order to understand where these conspiracy theories came from, why they became so popular, and what this says about America and Americans, in general.|King's|2 lecture hours, 1 tutorial hour.
HISTORY 2192A/B|BEER: THE BUSINESS, SOCIAL AND CULTURAL HISTORY OF A GLOBAL BEVERAGE|||Examines the business, social and cultural history of the brewing and consumption of beer, from its origins in antiquity, through its production and use in the Roman and Medieval periods, to its impact on Renaissance commerce, and the revolutions in technology, advertising, corporatization, globalization and localization during the modern age.|Western Main Campus|2 lecture hours. (online)
HISTORY 2190A/B|CRIME IN NORTH AMERICAN SOCIETY|||An analysis of crime and law enforcement in the United States and Canada within the context of urban growth and industrial capitalism in the 19th and 20th centuries. Specific types of criminal activity will be examined, as will the development of police, prisons and vice laws.|King's|3 hours.
HISTORY 2189A/B|HISTORY AT THE MOVIES|||This course explores representations of history on film, and the strengths and weaknesses of film as a medium for history, in both fictional film and documentaries from more than a century of historical movie-making.|Western Main Campus|2 lecture hours, 1 3-hour screening.
HISTORY 2188A/B|PIRATES & PIRACY ON THE WORLD'S SEAS AND IN THE PUBLIC IMAGINATION|||This course examines the history of pirates and piracy from antiquity through the present day. Among its major themes are changing definitions of piracy, the reasons individuals, groups, and nations have practiced or supported piracy, and how pirates have been depicted in popular culture.|Western Main Campus|2 lecture hours.
HISTORY 2187|POWER TO THE PEOPLES: A HISTORY OF RIGHTS IN NORTH AMERICA|||How did Canadians and Americans make a difference in the development of an inclusive and democratic society? This course examines various protest movements that have shaped Canadian and American History in the nineteenth and twentieth centuries.|King's|2 lecture hours, 1 tutorial hour.
HISTORY 2186A/B|ZOMBIE APOCALYPSE: PANIC AND PARANOIA IN HUMAN HISTORY|||This course examines the impact of fear, panic, and paranoia in human history. It considers how and why concern changes into panic in some situations and not in others, and the factors that make a descent into panic possible and even likely in some circumstances.|Western Main Campus|2 lecture hours.
HISTORY 2184|WOMEN, MEN AND TECHNOLOGY: A HISTORICAL PERSPECTIVE|History 2802E.||This course explores the changing relationships between women, men, and technology in North America. The course examines critical perspectives on technology and its role in history.  Themes include: domestic technologies, technologies of consumption, sexual division of labour; reproductive medical technologies; and the gendering of technologies.|Brescia|3.0 hours.
